p_inf,num_tests,test_functions,i,cnt,tp,tn,fp,fn,tkn_max,tkn_mean,tkn_std
0.0001,35,"sensitivity=0.9993,specificity=0.9993",34,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",0,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",1,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",2,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",3,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",4,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",5,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",6,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",7,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",8,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",9,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",10,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",11,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",12,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",13,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",14,17,2,691,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",15,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",16,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",17,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",18,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",19,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",20,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",21,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",22,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",23,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",24,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",25,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",26,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",27,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",28,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",29,10,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",30,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",31,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",32,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",33,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994,specificity=0.9994",34,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",0,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",1,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",2,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",3,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",4,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",5,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",6,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",7,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",8,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",9,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",10,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",11,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",12,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",13,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",14,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",15,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",16,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",17,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",18,1,0,693,0,0,1,1,0.0
